Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2015-05-13 16:15:00,OTHER OFFENSES,RECKLESS DRIVING,Wednesday,BAYVIEW,NONE,INDUSTRIAL ST / BARNEVELD AV,-122.404259582016,37.7387127054982
2015-05-13 16:10:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,INGLESIDE,NONE,0 Block of TIFFANY AV,-122.42122878644899,37.7452607746654
2015-05-13 16:09:00,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Wednesday,SOUTHERN,NONE,0 Block of MAIN ST,-122.395771566799,37.7924309627476
2015-05-13 16:02:00,ROBBERY,"ROBBERY, ARMED WITH A DANGEROUS WEAPON",Wednesday,PARK,NONE,200 Block of UPPER TR,-122.445069215681,37.7628549658127
2015-05-13 16:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,2200 Block of LEAVENWORTH ST,-122.41777148469,37.8015056603454
2015-05-13 16:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,1000 Block of GREAT HY,-122.510225749052,37.7672442209616
2015-05-13 16:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,BAYVIEW,NONE,100 Block of KISKA RD,-122.375989158092,37.7301576924252
2015-05-13 16:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,INGLESIDE,NONE,900 Block of ROCKDALE DR,-122.45450719864401,37.741113311496704
2015-05-13 16:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,DELVALE AV / ENCLINE CT,-122.44780197788499,37.7417697643405
2015-05-13 15:58:00,VEHICLE THEFT,STOLEN AND RECOVERED VEHICLE,Wednesday,NORTHERN,NONE,2400 Block of CALIFORNIA ST,-122.43468935167401,37.7888538411014
2015-05-13 15:58:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,NORTHERN,NONE,2400 Block of CALIFORNIA ST,-122.43468935167401,37.7888538411014
2015-05-13 15:50:00,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Wednesday,INGLESIDE,"ARREST, BOOKED",400 Block of EDINBURGH ST,-122.431371314076,37.7219675742406
2015-05-13 15:46:00,NON-CRIMINAL,AIDED CASE,Wednesday,TENDERLOIN,NONE,0 Block of UNITEDNATIONS PZ,-122.41431785788099,37.7799444052046
2015-05-13 15:46:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,SOUTHERN,JUVENILE BOOKED,7TH ST / MARKET ST,-122.41251534135598,37.78047774805079
2015-05-13 15:46:00,SECONDARY CODES,JUVENILE INVOLVED,Wednesday,SOUTHERN,JUVENILE BOOKED,7TH ST / MARKET ST,-122.41251534135598,37.78047774805079
2015-05-13 15:45:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,CENTRAL,NONE,800 Block of BAY ST,-122.421024261905,37.8047295639777
2015-05-13 15:40:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,PARK,NONE,1700 Block of MCALLISTER ST,-122.440879521853,37.77753219352179
2015-05-13 15:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,HYDE ST / LOMBARD ST,-122.419616109671,37.8019942438049
2015-05-13 15:24:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,BAYVIEW,NONE,1600 Block of 20TH ST,-122.397746771529,37.759992388000995
2015-05-13 15:23:00,MISSING PERSON,MISSING JUVENILE,Wednesday,MISSION,NONE,900 Block of POTRERO AV,-122.406604919508,37.7571580431915
2015-05-13 15:22:00,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,BAYVIEW,NONE,1200 Block of CONNECTICUT ST,-122.39627030123998,37.7504525015629
2015-05-13 15:22:00,ASSAULT,SHOOTING INTO INHABITED DWELLING OR OCCUPIED VEHICLE,Wednesday,BAYVIEW,NONE,1200 Block of CONNECTICUT ST,-122.39627030123998,37.7504525015629
2015-05-13 15:15:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,TENDERLOIN,NONE,0 Block of POWELL ST,-122.407845374111,37.7850943210103
2015-05-13 15:15:00,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,NORTHERN,NONE,1500 Block of FRANKLIN ST,-122.423803103549,37.788965741879394
2015-05-13 15:00:00,VEHICLE THEFT,STOLEN TRUCK,Wednesday,NORTHERN,NONE,2000 Block of CALIFORNIA ST,-122.428087689719,37.7895820615822
2015-05-13 15:00:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,BAYVIEW,"ARREST, BOOKED",1600 Block of UNDERWOOD AV,-122.392065177137,37.7299735987242
2015-05-13 15:00:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,TENDERLOIN,NONE,8TH ST / MARKET ST,-122.414743835382,37.778719262789004
2015-05-13 15:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,NORTHERN,NONE,FRANKLIN ST / HAYES ST,-122.421332684633,37.7770902743669
2015-05-13 15:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,TENDERLOIN,NONE,HYDE ST / MCALLISTER ST,-122.41531796699199,37.7807179285998
2015-05-13 15:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,BEACH ST / POLK ST,-122.42384881373002,37.8062214269911
2015-05-13 15:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,POST ST / WEBSTER ST,-122.431369772433,37.7853730435472
2015-05-13 15:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE,MISSION ST / 5TH ST,-122.406481972743,37.782731788488704
2015-05-13 14:45:00,BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Wednesday,SOUTHERN,NONE,800 Block of FOLSOM ST,-122.402343659494,37.7811666837563
2015-05-13 14:40:00,WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Wednesday,TENDERLOIN,NONE,0 Block of GROVE ST,-122.415642487855,37.7788323158792
2015-05-13 14:33:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,SOUTHERN,NONE,1000 Block of MISSION ST,-122.40979519450501,37.7800356268394
2015-05-13 14:31:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,PARK,"ARREST, BOOKED",1600 Block of HAIGHT ST,-122.449122960735,37.7697840925361
2015-05-13 14:31:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Wednesday,PARK,"ARREST, BOOKED",1600 Block of HAIGHT ST,-122.449122960735,37.7697840925361
2015-05-13 14:30:00,WARRANTS,WARRANT ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",300 Block of MCALLISTER ST,-122.417777932619,37.7803089893403
2015-05-13 14:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,NORTHERN,"ARREST, BOOKED",300 Block of MCALLISTER ST,-122.417777932619,37.7803089893403
2015-05-13 14:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,400 Block of JOHNFKENNEDY DR,-122.465208704996,37.77261005009071
2015-05-13 14:30:00,BURGLARY,"BURGLARY, HOT PROWL, ATTEMPTED FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE,700 Block of MIRAMAR AV,-122.458342785599,37.7297752677777
2015-05-13 14:30:00,WARRANTS,WARRANT ARREST,Wednesday,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2015-05-13 14:30:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,RICHMOND,NONE,700 Block of 45TH AV,-122.505883405539,37.7743688309532
2015-05-13 14:27:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,MISSION,NONE,3100 Block of 24TH ST,-122.41463447359199,37.7525276230522
2015-05-13 14:15:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TARAVAL,NONE,1700 Block of OCEAN AV,-122.46070943325,37.7249316978293
2015-05-13 14:15:00,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,TENDERLOIN,"ARREST, BOOKED",0 Block of OFARRELL ST,-122.405895369887,37.786734218498296
2015-05-13 14:09:00,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Wednesday,SOUTHERN,"ARREST, BOOKED",6TH ST / NATOMA ST,-122.40769310852899,37.7801630691196
2015-05-13 14:09:00,OTHER OFFENSES,PAROLE VIOLATION,Wednesday,SOUTHERN,"ARREST, BOOKED",6TH ST / NATOMA ST,-122.40769310852899,37.7801630691196
2015-05-13 14:05:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,NORTHERN,NONE,3600 Block of LYON ST,-122.44827840533002,37.804271887891005
2015-05-13 14:03:00,OTHER OFFENSES,PAROLE VIOLATION,Wednesday,INGLESIDE,"ARREST, BOOKED",29TH ST / SAN JOSE AV,-122.422672192368,37.74394327043071
2015-05-13 14:03:00,WARRANTS,ENROUTE TO PAROLE OFFICER,Wednesday,INGLESIDE,"ARREST, BOOKED",29TH ST / SAN JOSE AV,-122.422672192368,37.74394327043071
2015-05-13 14:03:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,INGLESIDE,"ARREST, BOOKED",29TH ST / SAN JOSE AV,-122.422672192368,37.74394327043071
2015-05-13 14:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,INGLESIDE,NONE,0 Block of ATHENS ST,-122.424276475396,37.727292995416605
2015-05-13 14:00:00,NON-CRIMINAL,FOUND PROPERTY,Wednesday,BAYVIEW,NONE,1200 Block of 3RD ST,-122.389517648036,37.772468240006106
2015-05-13 14:00:00,TRESPASS,TRESPASSING,Wednesday,CENTRAL,"ARREST, BOOKED",300 Block of CLAY ST,-122.399739729147,37.795032594114105
2015-05-13 14:00:00,ASSAULT,BATTERY,Wednesday,TENDERLOIN,NONE,0 Block of UNITEDNATIONS PZ,-122.41431785788099,37.7799444052046
2015-05-13 14:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,400 Block of JOHNFKENNEDY DR,-122.465208704996,37.77261005009071
2015-05-13 14:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.513642064265,37.77846921994671
2015-05-13 14:00:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,NORTHERN,NONE,1900 Block of SUTTER ST,-122.43186377394501,37.7862086748826
2015-05-13 14:00:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE,100 Block of MELROSE AV,-122.44506993598,37.733750100739
2015-05-13 14:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,INGLESIDE,NONE,100 Block of APPLETON AV,-122.423071299928,37.7385490450902
2015-05-13 14:00:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,TARAVAL,NONE,200 Block of CRESTLAKE DR,-122.48454565961501,37.7351126869922
2015-05-13 13:58:00,ROBBERY,ROBBERY OF A CHAIN STORE WITH A DANGEROUS WEAPON,Wednesday,CENTRAL,JUVENILE BOOKED,300 Block of BAY ST,-122.41280375299999,37.8057739875696
2015-05-13 13:58:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,CENTRAL,JUVENILE BOOKED,300 Block of BAY ST,-122.41280375299999,37.8057739875696
2015-05-13 13:47:00,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / HYDE ST,-122.415508242782,37.7816542806076
2015-05-13 13:41:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,SOUTHERN,"ARREST, BOOKED",HARRISON ST / 2ND ST,-122.39516315448799,37.7843096998676
2015-05-13 13:40:00,WARRANTS,WARRANT ARREST,Wednesday,TENDERLOIN,"ARREST, BOOKED",200 Block of GOLDEN GATE AV,-122.41426339037201,37.78175698479679
2015-05-13 13:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,CENTRAL,NONE,LEAVENWORTH ST / LOMBARD ST,-122.41797014111799,37.802202320370895
2015-05-13 13:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,TARAVAL,NONE,25TH AV / NORIEGA ST,-122.48289869410601,37.75395502597279
2015-05-13 13:30:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,TARAVAL,NONE,25TH AV / NORIEGA ST,-122.48289869410601,37.75395502597279
2015-05-13 13:19:00,WARRANTS,WARRANT ARREST,Wednesday,NORTHERN,"ARREST, BOOKED",400 Block of GOLDEN GATE AV,-122.417982021136,37.7812853695649
2015-05-13 13:19:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,MISSION,"ARREST, BOOKED",17TH ST / MISSION ST,-122.419515708406,37.7634292328496
2015-05-13 13:19:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,MISSION,"ARREST, BOOKED",17TH ST / MISSION ST,-122.419515708406,37.7634292328496
2015-05-13 13:19:00,OTHER OFFENSES,PAROLE VIOLATION,Wednesday,MISSION,"ARREST, BOOKED",17TH ST / MISSION ST,-122.419515708406,37.7634292328496
2015-05-13 13:19:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,MISSION,"ARREST, BOOKED",17TH ST / MISSION ST,-122.419515708406,37.7634292328496
2015-05-13 13:14:00,ROBBERY,ROBBERY OF A BANK WITH A DANGEROUS WEAPON,Wednesday,NORTHERN,NONE,2300 Block of FILLMORE ST,-122.434225174063,37.7911685255545
2015-05-13 13:05:00,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Wednesday,SOUTHERN,NONE,800 Block of BRYANT ST,-122.40340479147899,37.775420706711
2015-05-13 13:00:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,NORTHERN,NONE,2300 Block of FILLMORE ST,-122.434361867112,37.7911511886642
2015-05-13 13:00:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE,200 Block of STILLINGS AV,-122.444854141874,37.7344981112967
2015-05-13 13:00:00,ASSAULT,THREATS AGAINST LIFE,Wednesday,SOUTHERN,NONE,500 Block of MISSION ST,-122.399545336565,37.788129179436005
2015-05-13 13:00:00,LARCENY/THEFT,THEFT OF ANIMALS (GENERAL),Wednesday,NORTHERN,NONE,2300 Block of FILLMORE ST,-122.434361867112,37.7911511886642
2015-05-13 12:59:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,TENDERLOIN,"ARREST, BOOKED",MASON ST / EDDY ST,-122.409313111431,37.784347851315104
2015-05-13 12:45:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,RICHMOND,NONE,GEARY BL / 27TH AV,-122.486878332136,37.779992370132106
2015-05-13 12:37:00,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,NORTHERN,NONE,IVY ST / GOUGH ST,-122.423076727309,37.7773502636996
2015-05-13 12:35:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,SOUTHERN,NONE,4TH ST / MISSION ST,-122.404270179486,37.78447885387449
2015-05-13 12:30:00,WARRANTS,WARRANT ARREST,Wednesday,TARAVAL,NONE,1800 Block of IRVING ST,-122.477696048974,37.7635915438758
2015-05-13 12:30:00,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Wednesday,BAYVIEW,"ARREST, BOOKED",700 Block of KIRKWOOD AV,-122.374019331833,37.729203356539
2015-05-13 12:30:00,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,BAYVIEW,"ARREST, BOOKED",700 Block of KIRKWOOD AV,-122.374019331833,37.729203356539
2015-05-13 12:30:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,NONE,300 Block of STOCKTON ST,-122.40688650360599,37.7887345763527
2015-05-13 12:30:00,FRAUD,"CREDIT CARD, THEFT BY USE OF",Wednesday,CENTRAL,NONE,300 Block of STOCKTON ST,-122.40688650360599,37.7887345763527
2015-05-13 12:30:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,BAYVIEW,"ARREST, BOOKED",700 Block of KIRKWOOD AV,-122.374019331833,37.729203356539
2015-05-13 12:30:00,NON-CRIMINAL,AIDED CASE -PROPERTY FOR DESTRUCTION,Wednesday,TARAVAL,NONE,1600 Block of LINCOLN WY,-122.47565548380899,37.7654140465005
2015-05-13 12:23:00,NON-CRIMINAL,FOUND PROPERTY,Wednesday,BAYVIEW,NONE,7TH ST / IRWIN ST,-122.39742619472601,37.7684401585615
2015-05-13 12:21:00,KIDNAPPING,FALSE IMPRISONMENT,Wednesday,INGLESIDE,"ARREST, BOOKED",1500 Block of DOLORES ST,-122.424347725679,37.7450456172368
2015-05-13 12:21:00,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Wednesday,INGLESIDE,"ARREST, BOOKED",1500 Block of DOLORES ST,-122.424347725679,37.7450456172368
2015-05-13 12:20:00,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Wednesday,NORTHERN,NONE,1500 Block of CALIFORNIA ST,-122.41988857815399,37.790735381704394
2015-05-13 12:00:00,NON-CRIMINAL,AIDED CASE,Wednesday,RICHMOND,UNFOUNDED,100 Block of FUNSTON AV,-122.47204825520299,37.7853902153809
2015-05-13 12:00:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,RICHMOND,UNFOUNDED,100 Block of FUNSTON AV,-122.47204825520299,37.7853902153809
2015-05-13 12:00:00,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,NORTHERN,NONE,600 Block of VANNESS AV,-122.420691386664,37.7814832523537
2015-05-13 12:00:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,CENTRAL,NONE,700 Block of VALLEJO ST,-122.40979166229299,37.7985083480435
2015-05-13 12:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,INGLESIDE,NONE,200 Block of BLYTHDALE AV,-122.420529801066,37.7110023300609
2015-05-13 12:00:00,VEHICLE THEFT,STOLEN TRUCK,Wednesday,SOUTHERN,NONE,600 Block of 8TH ST,-122.40468540987,37.7706290272637
2015-05-13 11:40:00,NON-CRIMINAL,FOUND PROPERTY,Wednesday,PARK,NONE,900 Block of PAGE ST,-122.436404132126,37.772254544549796
2015-05-13 11:30:00,SUSPICIOUS OCC,SUSPICIOUS PERSON,Wednesday,SOUTHERN,NONE,0 Block of 6TH ST,-122.40901120663901,37.7811340568243
2015-05-13 11:30:00,LARCENY/THEFT,PETTY THEFT BICYCLE,Wednesday,NORTHERN,NONE,500 Block of LARKIN ST,-122.417367329727,37.7828626236813
2015-05-13 11:30:00,MISSING PERSON,MISSING ADULT,Wednesday,SOUTHERN,NONE,0 Block of DORE ST,-122.413045971966,37.7738617771611
2015-05-13 11:22:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,CENTRAL,NONE,700 Block of COLUMBUS AV,-122.412004250282,37.8014864742879
2015-05-13 11:00:00,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,INGLESIDE,"ARREST, BOOKED",5300 Block of DIAMONDHEIGHTS BL,-122.43626687050501,37.7427715592858
2015-05-13 11:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,POLK ST / WILLOW ST,-122.41927480144899,37.7835680535207
2015-05-13 10:30:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,TARAVAL,NONE,1800 Block of 29TH AV,-122.48718586535401,37.7528149846179
2015-05-13 10:30:00,MISSING PERSON,MISSING ADULT,Wednesday,CENTRAL,NONE,1000 Block of BUSH ST,-122.414576897,37.7894768075723
2015-05-13 10:30:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,17TH ST / MISSION ST,-122.419515708406,37.7634292328496
2015-05-13 10:30:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,VALENCIA ST / 17TH ST,-122.421733767763,37.7632996945938
2015-05-13 10:22:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,CENTRAL,NONE,800 Block of JONES ST,-122.41370505887501,37.7890640478934
2015-05-13 10:15:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,SOUTHERN,NONE,0 Block of MAIN ST,-122.395771566799,37.7924309627476
2015-05-13 10:05:00,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,NORTHERN,NONE,600 Block of EDDY ST,-122.41838200860701,37.783258377094896
2015-05-13 10:00:00,ASSAULT,BATTERY,Wednesday,CENTRAL,NONE,1200 Block of UNION ST,-122.420222702716,37.7989964986923
2015-05-13 10:00:00,BURGLARY,"BURGLARY, UNLAWFUL ENTRY",Wednesday,MISSION,NONE,2000 Block of MISSION ST,-122.41952036788601,37.764228935718
2015-05-13 10:00:00,NON-CRIMINAL,FOUND PROPERTY,Wednesday,RICHMOND,NONE,25TH AV / CLEMENT ST,-122.484873334981,37.7820231786465
2015-05-13 09:46:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Wednesday,MISSION,"ARREST, BOOKED",800 Block of CAPP ST,-122.417499429971,37.753084671409
2015-05-13 09:46:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,PARK,"ARREST, BOOKED",HAIGHT ST / STANYAN ST,-122.45353456066002,37.76916629780521
2015-05-13 09:46:00,WARRANTS,WARRANT ARREST,Wednesday,PARK,"ARREST, BOOKED",HAIGHT ST / STANYAN ST,-122.45353456066002,37.76916629780521
2015-05-13 09:40:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,1100 Block of FILLMORE ST,-122.431979576386,37.7800478529923
2015-05-13 09:40:00,ASSAULT,BATTERY,Wednesday,INGLESIDE,NONE,CRESCENT AV / FOLSOM ST,-122.413689986582,37.7347306984732
2015-05-13 09:40:00,SECONDARY CODES,JUVENILE INVOLVED,Wednesday,INGLESIDE,NONE,CRESCENT AV / FOLSOM ST,-122.413689986582,37.7347306984732
2015-05-13 09:36:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE,0 Block of GLADYS ST,-122.42286568411801,37.73947657220271
2015-05-13 09:30:00,MISSING PERSON,MISSING ADULT,Wednesday,CENTRAL,NONE,1800 Block of MASON ST,-122.412663134779,37.8006355477605
2015-05-13 09:30:00,MISSING PERSON,FOUND PERSON,Wednesday,CENTRAL,NONE,1800 Block of MASON ST,-122.412663134779,37.8006355477605
2015-05-13 09:30:00,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Wednesday,MISSION,NONE,2200 Block of MISSION ST,-122.419350173229,37.76101609120561
2015-05-13 09:30:00,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Wednesday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / HYDE ST,-122.415508242782,37.7816542806076
2015-05-13 09:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN,"ARREST, BOOKED",GOLDEN GATE AV / HYDE ST,-122.415508242782,37.7816542806076
2015-05-13 09:00:00,RUNAWAY,RUNAWAY,Wednesday,INGLESIDE,NONE,5700 Block of MISSION ST,-122.449674980499,37.709762526111
2015-05-13 09:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,NORTHERN,NONE,500 Block of HAYES ST,-122.425416290071,37.776628022785104
2015-05-13 09:00:00,DRUG/NARCOTIC,LOITERING WHERE NARCOTICS ARE SOLD/USED,Wednesday,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / JONES ST,-122.412784096502,37.78486569395261
2015-05-13 09:00:00,OTHER OFFENSES,RESISTING ARREST,Wednesday,TENDERLOIN,"ARREST, BOOKED",ELLIS ST / JONES ST,-122.412784096502,37.78486569395261
2015-05-13 09:00:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,SOUTHERN,NONE,ZOE ST / BRANNAN ST,-122.395308650567,37.7792970189766
2015-05-13 09:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,PARK,NONE,DIVISADERO ST / TURK ST,-122.43874173736799,37.779659315025796
2015-05-13 08:55:00,VEHICLE THEFT,STOLEN MOTORCYCLE,Wednesday,TARAVAL,NONE,1700 Block of 11TH AV,-122.46779680271999,37.7555414681071
2015-05-13 08:41:00,OTHER OFFENSES,"FRAUDULENT GAME OR TRICK, OBTAINING MONEY OR PROPERTY",Wednesday,CENTRAL,NONE,1100 Block of BUSH ST,-122.41619920450199,37.7891587712961
2015-05-13 08:36:00,OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,NORTHERN,"ARREST, BOOKED",BROADWAY ST / VANNESS AV,-122.42341305720501,37.795737109246
2015-05-13 08:30:00,NON-CRIMINAL,LOST PROPERTY,Wednesday,NORTHERN,NONE,VANNESS AV / ELLIS ST,-122.421011927709,37.7838226942199
2015-05-13 08:17:00,OTHER OFFENSES,HARASSING PHONE CALLS,Wednesday,CENTRAL,NONE,1100 Block of CALIFORNIA ST,-122.41328887250799,37.7914655329997
2015-05-13 08:16:00,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,MISSION,"ARREST, CITED",CESAR CHAVEZ ST / GUERRERO ST,-122.42249041028,37.7480144418715
2015-05-13 08:10:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,MISSION,NONE,2000 Block of MARKET ST,-122.426955631709,37.769247063207004
2015-05-13 08:00:00,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,INGLESIDE,NONE,1600 Block of SUNNYDALE AV,-122.41714480239901,37.7121502932531
2015-05-13 08:00:00,MISSING PERSON,MISSING JUVENILE,Wednesday,PARK,NONE,1800 Block of EDDY ST,-122.438098378037,37.7806388583762
2015-05-13 08:00:00,OTHER OFFENSES,INCIDENT ON SCHOOL GROUNDS,Wednesday,MISSION,NONE,24TH ST / FOLSOM ST,-122.414089000708,37.75250507857579
2015-05-13 08:00:00,ASSAULT,BATTERY,Wednesday,MISSION,NONE,24TH ST / FOLSOM ST,-122.414089000708,37.75250507857579
2015-05-13 08:00:00,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Wednesday,BAYVIEW,NONE,LOOMIS ST / FLOWER ST,-122.404599389916,37.7421188919731
2015-05-13 07:59:00,ASSAULT,BATTERY,Wednesday,MISSION,NONE,23RD ST / UTAH ST,-122.40545578922399,37.7543370820935
2015-05-13 07:59:00,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Wednesday,MISSION,NONE,23RD ST / UTAH ST,-122.40545578922399,37.7543370820935
